county,n_features,elapsed_s,output_path
Fisher,0,0.01,
Flagler,0,0.01,
Flathead,0,0.01,
Fleming,0,0.01,
Florence,0,0.01,
Florence,0,0.01,
Florida,0,0.01,
Floyd,0,0.01,
Floyd,0,0.01,
Floyd,0,0.01,
Floyd,0,0.01,
Floyd,0,0.01,
Floyd,0,0.01,
Fluvanna,0,0.01,
Foard,0,0.01,
Fond du Lac,0,0.01,
Ford,0,0.01,
Ford,0,0.01,
Forest,0,0.01,
Forest,0,0.01,
Forrest,0,0.01,
Forsyth,0,0.01,
Forsyth,0,0.01,
Fort Bend,0,0.01,
Foster,0,0.01,
Fountain,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Franklin,0,0.01,
Frederick,0,0.01,
Frederick,0,0.01,
Fredericksburg,0,0.01,
Freeborn,0,0.02,
Freestone,0,0.01,
Fremont,0,0.01,
Fremont,0,0.01,
Fremont,0,0.02,
Fremont,0,0.02,
Fresno,7039,0.23,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Fresno\Fresno_waterbodies.shp
Frio,0,0.01,
Frontier,0,0.01,
Fulton,0,0.01,
Fulton,0,0.01,
Fulton,0,0.01,
Fulton,0,0.01,
Fulton,0,0.01,
Fulton,0,0.01,
Fulton,0,0.01,
Fulton,0,0.01,
Furnas,0,0.01,
Gadsden,0,0.01,
Gage,0,0.01,
Gaines,0,0.01,
Galax,0,0.01,
Gallatin,0,0.01,
Gallatin,0,0.01,
Gallatin,0,0.01,
Gallia,0,0.01,
Galveston,0,0.01,
Garden,0,0.01,
Garfield,0,0.01,
Garfield,0,0.01,
Garfield,0,0.01,
Garfield,0,0.01,
Garfield,0,0.01,
Garfield,0,0.01,
Garland,0,0.01,
Garrard,0,0.01,
Garrett,0,0.02,
Garvin,0,0.01,
Garza,0,0.01,
Gasconade,0,0.01,
Gaston,0,0.01,
Gates,0,0.01,
Geary,0,0.01,
Geauga,0,0.02,
Gem,0,0.01,
Genesee,0,0.01,
Genesee,0,0.01,
Geneva,0,0.01,
Gentry,0,0.01,
George,0,0.01,
Georgetown,0,0.01,
Gibson,0,0.01,
Gibson,0,0.01,
Gila,0,0.01,
Gilchrist,0,0.01,
Giles,0,0.01,
Giles,0,0.01,
Gillespie,0,0.01,
Gilliam,0,0.01,
Gilmer,0,0.01,
Gilmer,0,0.01,
Gilpin,0,0.01,
Glacier,0,0.01,
Glades,0,0.01,
Gladwin,0,0.01,
Glascock,0,0.01,
Glasscock,0,0.01,
